broker;district;price;type;category;area;lat;long;num_bedroom;num_bathroom;num_garage;added_date;sold_date;is_sold;days_on_market;price_per_m2
Pedro Granado Imóveis;Conjunto Habitacional Inocente Vila Nova Júnior;259000.0;Casa;Casa;259.02;;;3.0;3.0;1.0;2025-08-01;;False;;999.92278588526
Pedro Granado Imóveis;Vila Vardelina;275000.0;Padrão;Apartamento;51.56;;;2.0;1.0;;2025-08-01;;False;;5333.591931730023
Pedro Granado Imóveis;Jardim Brasilia;399000.0;Sobrado;Casa;150.0;;;3.0;2.0;1.0;2025-08-01;;False;;2660.0
Pedro Granado Imóveis;Jardim Novo Horizonte;;Padrão;Apartamento;68.73;;;3.0;2.0;1.0;2025-08-01;;False;;
Pedro Granado Imóveis;Zona 01;1490000.0;Padrão;Apartamento;177.99;;;3.0;4.0;3.0;2025-08-01;;False;;8371.25681218046
Pedro Granado Imóveis;Zona 04;;Salão;Comercial;678.0;;;;9.0;;2025-08-01;;False;;
Lelo Imóveis;Zona 06;495000.0;;Terreno;506.07;-23.4237384;-51.9621123;;;;2025-08-01;;False;;978.1255557531568
Lelo Imóveis;Jardim Alvorada;348000.0;;Apartamento;90.0;-23.3896749;-51.9081059;3.0;;1.0;2025-08-01;;False;;3866.6666666666665
Pedro Granado Imóveis;Jardim Tupinambá;380000.0;Casa;Casa;423.36;;;3.0;1.0;1.0;2025-08-01;;False;;897.5812547241119
Pedro Granado Imóveis;Jardim Novo Horizonte;2950000.0;Condomínio Fechado;Casa;311.55;;;3.0;4.0;1.0;2025-08-01;;False;;9468.785106724445
Lelo Imóveis;Jardim Copacabana;390000.0;;Casa;150.0;-23.3783478;-51.9358142;3.0;;2.0;2025-08-01;;False;;2600.0
Lelo Imóveis;Vila Marumby;410000.0;;Apartamento;97.79;-23.4443223;-51.9300155;3.0;;1.0;2025-08-01;;False;;4192.657735964823
Lelo Imóveis;Parque Hortencia;298000.0;;Casa;150.11;-23.3993757;-51.9737784;2.0;;;2025-08-01;;False;;1985.2108453800545
Lelo Imóveis;Parque Res Cidade Nova;220000.0;;Apartamento;71.62;-23.3989953;-51.931698;3.0;;1.0;2025-08-01;;False;;3071.76766266406
Lelo Imóveis;Parque Industrial;340000.0;;Apartamento;53.0;-23.445311;-51.9719408;2.0;;1.0;2025-08-01;;False;;6415.094339622641
Lelo Imóveis;Alto Das Grevileas;199000.0;;Terreno;276.0;-23.4664412;-51.9177658;;;;2025-08-01;;False;;721.0144927536232
Silvio Iwata;Jd Das Estações;250000.0;;Apartamento;49.12;-23.4475751;-51.9806281;1.0;1.0;1.0;2025-08-01;;False;;5089.576547231271
Silvio Iwata;Chácaras Aeroporto;690000.0;;Terreno;400.0;-23.472089;-51.906143;;;;2025-08-01;;False;;1725.0
Silvio Iwata;;1000000.0;;Terreno;;-23.4720728;-51.91108269999999;;;;2025-08-01;;False;;
Silvio Iwata;Alto Das Grevileas;1280000.0;;Casa;131.73;-23.4732125;-51.9127601;3.0;4.0;2.0;2025-08-01;;False;;9716.845061868977
Silvio Iwata;Zona 06;;;Apartamento;70.87;-23.4232112;-51.9600708;3.0;2.0;2.0;2025-08-03;;False;;
Pedro Granado Imóveis;Zona 07;279000.0;Padrão;Apartamento;74.0;;;2.0;2.0;1.0;2025-08-04;;False;;3770.2702702702704
Pedro Granado Imóveis;Conjunto Habitacional Inocente Vila Nova Júnior;340000.0;Padrão;Terreno;315.81;;;;;;2025-08-04;;False;;1076.5966878819545
Lelo Imóveis;Parque Taruma;175000.0;;Apartamento;50.59;-23.469288;-51.9171653;2.0;;1.0;2025-08-04;;False;;3459.1816564538444
Lelo Imóveis;Jardim Guapore;1140000.0;;Casa;300.52;-23.4433343;-51.961929;3.0;;4.0;2025-08-04;;False;;3793.4247304671903
Lelo Imóveis;Zona 07;549000.0;;Apartamento;167.63;-23.41608;-51.92942;3.0;;1.0;2025-08-04;;False;;3275.070094851757
Lelo Imóveis;Zona 07;295000.0;;Apartamento;72.24;-23.4154055;-51.9501832;2.0;;1.0;2025-08-04;;False;;4083.610188261351
Lelo Imóveis;Jardim Oriental;650000.0;;Casa;100.0;-23.3705265;-51.9469481;3.0;;2.0;2025-08-04;;False;;6500.0
Lelo Imóveis;Zona 03;751907.0;;Apartamento;131.64;-23.4291232;-51.9227498;3.0;;1.0;2025-08-04;;False;;5711.842904892131
Lelo Imóveis;Zona 08;850000.0;;Apartamento;146.36;-23.4297742;-51.9159322;;;;2025-08-04;;False;;5807.597704290789
